X,Y,ADDRESS,CITY,STATE,ZIP,kWh/h,TARRIFF
-122.3232189,47.7342302,501 NE 145TH ST,SEATTLE,WA,98155,0.092,STD
-122.3612994,47.7339105,14425 3RD AVE NW,SEATTLE,WA,98177,0.036000000000000004,STD
-122.3560953,47.73370334,14411 GREENWOOD AVE N,SEATTLE,WA,98133,0.036,STD
-122.3560953,47.73370334,14413 GREENWOOD AVE N,SEATTLE,WA,98133,0.031,STD
-122.3560953,47.73370334,14415 GREENWOOD AVE N,SEATTLE,WA,98133,0.024,STD
-122.3560953,47.73370334,14419 GREENWOOD AVE N,SEATTLE,WA,98133,0.017,STD
-122.3586761,47.7338851,14420 1ST AVE NW,SEATTLE,WA,98177,0.028,STD
-122.3583314,47.73388158,115 N 145TH ST,SEATTLE,WA,98133,0.029,STD
-122.3583314,47.73388158,115 NW 145TH ST,SEATTLE,WA,98177,0.027999999999999997,STD
-122.3580484,47.73383347,123 N 145TH ST,SEATTLE,WA,98133,0.033,STD
-122.3580484,47.73383347,123 NW 145TH ST,SEATTLE,WA,98177,0.033,STD
-122.3606661,47.73387053,137 NW 145TH ST,SEATTLE,WA,98177,0.091,STD
-122.3576898,47.73384618,131 N 145TH ST,SEATTLE,WA,98133,0.719,STD
-122.3576898,47.73384618,131 NW 145TH ST,SEATTLE,WA,98177,0.11699999999999999,STD
-122.357127,47.73385214,143 N 145TH ST,SEATTLE,WA,98133,0.057,STD
-122.357127,47.73385214,143 NW 145TH ST,SEATTLE,WA,98177,0.116,STD
-122.360164,47.73377911,127 NW 145TH ST,SEATTLE,WA,98177,0.703,STD
-122.3616323,47.73366505,14415 3RD AVE NW,SEATTLE,WA,98177,0.66,STD
-122.3592024,47.73370101,14419 1ST AVE NW,SEATTLE,WA,98177,1.513,STD
-122.3597217,47.73369274,111 NW 145TH ST,SEATTLE,WA,98177,0.077,STD
-122.3566444,47.73355712,155 N 145TH ST,SEATTLE,WA,98133,0.115,STD
-122.3566444,47.73355712,159 NW 145TH ST,SEATTLE,WA,98177,0.20500000000000002,STD
-122.3605236,47.73349943,14410 3RD AVE NW,SEATTLE,WA,98177,0.114,STD
-122.358372,47.73353306,14404 1ST AVE NW,SEATTLE,WA,98177,0.11,STD
-122.35741,47.73355223,126 N 144TH ST,SEATTLE,WA,98133,0.035,STD
-122.3599476,47.73346971,134 NW 144TH ST,SEATTLE,WA,98177,0.034,STD
-122.3578893,47.73349804,102 N 144TH ST,SEATTLE,WA,98133,0.033,STD
-122.3578893,47.73349804,112 N 144TH ST,SEATTLE,WA,98133,0.026000000000000002,STD
-122.3563616,47.73349512,146 N 144TH ST,SEATTLE,WA,98133,0.018000000000000002,STD
-122.3563616,47.73349512,148 N 144TH ST,SEATTLE,WA,98133,0.025,STD
-122.3563616,47.73349512,150 N 144TH ST,SEATTLE,WA,98133,0.033,STD
-122.3575936,47.73345582,120 N 144TH ST,SEATTLE,WA,98133,0.029,STD
-122.3580914,47.73343617,108 N 144TH ST,SEATTLE,WA,98133,0.033,STD
-122.3570951,47.73341217,132 N 144TH ST,SEATTLE,WA,98133,0.029,STD
-122.3616333,47.7333568,14405 3RD AVE NW,SEATTLE,WA,98177,0.028,STD
-122.3559769,47.7333402,14403 GREENWOOD AVE N,SEATTLE,WA,98133,0.14200000000000002,STD
-122.3617309,47.73291543,14321 3RD AVE NW,SEATTLE,WA,98177,1.29,STD
-122.357573,47.73300694,117 N 144TH ST,SEATTLE,WA,98133,0.14500000000000002,STD
-122.3597165,47.73299677,129 NW 144TH ST,SEATTLE,WA,98177,0.109,STD
-122.3601965,47.73300159,141 NW 144TH ST,SEATTLE,WA,98177,0.11699999999999999,STD
-122.3594686,47.73299235,123 NW 144TH ST,SEATTLE,WA,98177,0.202,STD
-122.3570766,47.73297606,129 N 144TH ST,SEATTLE,WA,98133,0.114,STD
-122.3580382,47.73301238,101 N 144TH ST,SEATTLE,WA,98133,0.838,STD
-122.3599385,47.7329824,137 NW 144TH ST,SEATTLE,WA,98177,2.2340001000000003,STD
-122.3573223,47.73299848,123 N 144TH ST,SEATTLE,WA,98133,0.255,STD
-122.3605313,47.73290959,149 NW 144TH ST,SEATTLE,WA,98177,0.113,STD
-122.3560652,47.73290001,14315 GREENWOOD AVE N,SEATTLE,WA,98133,0.21899999999999997,STD
-122.3560652,47.73290001,14323 GREENWOOD AVE N,SEATTLE,WA,98133,0.11,STD
-122.3582777,47.73267531,14315 1ST AVE NW,SEATTLE,WA,98177,0.107,STD
-122.3577555,47.73270621,14310 1ST AVE NW,SEATTLE,WA,98177,0.040999999999999995,STD
-122.3601714,47.73258925,210 NW 143RD ST,SEATTLE,WA,98177,0.032,STD
-122.3596373,47.73262045,200 NW 143RD ST,SEATTLE,WA,98177,0.03,STD
-122.3586895,47.73257084,118 NW 143RD ST,SEATTLE,WA,98177,0.033,STD
-122.3589837,47.73257857,124 NW 143RD ST,SEATTLE,WA,98177,0.022000000000000002,STD
-122.3591968,47.73254297,132 NW 143RD ST,SEATTLE,WA,98177,0.019999999999999997,STD
-122.3573229,47.7325761,108 N 143RD ST,SEATTLE,WA,98133,0.029,STD
-122.3566163,47.73257058,126 N 143RD ST,SEATTLE,WA,98133,0.028,STD
-122.358349,47.73254946,14303 1ST AVE NW,SEATTLE,WA,98177,0.034,STD
-122.3606721,47.73249769,220 NW 143RD ST,SEATTLE,WA,98177,0.027999999999999997,STD
-122.3575871,47.73251268,102 N 143RD ST,SEATTLE,WA,98133,0.027999999999999997,STD
-122.36588,47.73223561,798 NW CULBERTSON DR,SEATTLE,WA,98177,0.8380000000000001,STD
-122.3644563,47.73210125,14301 3RD AVE NW,SEATTLE,WA,98177,0.114,STD
-122.3654445,47.73212657,796 NW CULBERTSON DR,SEATTLE,WA,98177,0.096,STD
-122.361357,47.73211017,14055 3RD AVE NW,SEATTLE,WA,98177,0.201,STD
-122.3604853,47.73214814,209 NW 143RD ST,SEATTLE,WA,98177,0.22399999999999998,STD
-122.3593084,47.73215828,14058 2ND AVE NW,SEATTLE,WA,98177,0.172,STD
-122.3598795,47.73214043,211 NW 143RD ST,SEATTLE,WA,98177,1.693,STD
-122.358571,47.73215506,14055 1ST AVE NW,SEATTLE,WA,98177,0.065,STD
-122.3559127,47.73213695,14051 GREENWOOD AVE N,SEATTLE,WA,98133,0.118,STD
-122.3559127,47.73213695,14053 GREENWOOD AVE N,SEATTLE,WA,98133,0.209,STD
-122.3560824,47.73215494,235 N 143RD ST,SEATTLE,WA,98133,0.123,STD
-122.3560824,47.73215494,237 N 143RD ST,SEATTLE,WA,98133,0.111,STD
-122.3560824,47.73215494,239 N 143RD ST,SEATTLE,WA,98133,0.039,STD
-122.357228,47.73214162,203 N 143RD ST,SEATTLE,WA,98133,0.027000000000000003,STD
-122.3570064,47.73215081,211 N 143RD ST,SEATTLE,WA,98133,0.032,STD
-122.3567736,47.73214205,217 N 143RD ST,SEATTLE,WA,98133,0.029,STD
-122.3579199,47.73213351,103 N 143RD ST,SEATTLE,WA,98133,0.033,STD
-122.3564338,47.73210625,227 N 143RD ST,SEATTLE,WA,98133,0.027999999999999997,STD
-122.3605475,47.73199577,14052 3RD AVE NW,SEATTLE,WA,98177,0.028,STD
-122.3593605,47.73196553,14054 2ND AVE NW,SEATTLE,WA,98177,0.023,STD
-122.3599393,47.73201513,14053 2ND AVE NW,SEATTLE,WA,98177,0.015,STD
-122.3586627,47.73202425,14051 1ST AVE NW,SEATTLE,WA,98177,0.031,STD
-122.361431,47.73182671,14045 3RD AVE NW,SEATTLE,WA,98177,0.03,STD
-122.3578022,47.73199035,14051 PALATINE AVE N,SEATTLE,WA,98133,0.027999999999999997,STD
-122.3661061,47.73176092,799 NW CULBERTSON DR,SEATTLE,WA,98177,0.45,STD
-122.3605824,47.73183193,14046 3RD AVE NW,SEATTLE,WA,98177,0.061,STD
-122.3622529,47.7317908,14033 3RD AVE NW,SEATTLE,WA,98177,0.225,STD
-122.3592925,47.73182919,14046 2ND AVE NW,SEATTLE,WA,98177,0.174,STD
-122.3585841,47.73184238,14047 1ST AVE NW,SEATTLE,WA,98177,0.105,STD
-122.3563632,47.73185436,223 N 143RD ST,SEATTLE,WA,98133,0.132,STD
-122.3598668,47.73182694,14043 2ND AVE NW,SEATTLE,WA,98177,2.4059999999999997,STD
-122.3576396,47.73183477,14045 PALATINE AVE N,SEATTLE,WA,98133,0.221,STD
-122.3656449,47.73166956,797 NW CULBERTSON DR,SEATTLE,WA,98177,0.188,STD
