"year","average_kwh","fuel_charge_cents_kwh","average_bill"
"2019-03-01T00:00:00.000","658","2.895","65.13"
"2019-02-01T00:00:00.000","707","2.895","70.38"
"2019-01-01T00:00:00.000","761","2.895","76.13"
"2018-12-01T00:00:00.000","663","2.895","65.67"
"2018-11-01T00:00:00.000","685","2.895","68.01"
"2018-10-01T00:00:00.000","819","2.936","82.41"
"2018-09-01T00:00:00.000","1224","3.007","131.02"
"2018-08-01T00:00:00.000","1311","3.007","142.1"
"2018-07-01T00:00:00.000","1183","3.007","125.78"
"2018-06-01T00:00:00.000","1144","3.007","120.82"
"2018-05-01T00:00:00.000","686","2.936","68.19"
"2018-04-01T00:00:00.000","626","2.936","61.78"
"2018-03-01T00:00:00.000","600","2.936","59"
"2018-02-01T00:00:00.000","757","2.936","75.78"
"2018-01-01T00:00:00.000","887","2.936","89.68"
"2017-12-01T00:00:00.000","637","2.936","62.96"
"2017-11-01T00:00:00.000","660","2.936","65.42"
"2017-10-01T00:00:00.000","888","2.727","87.78"
"2017-09-01T00:00:00.000","1128","2.829","116.56"
"2017-08-01T00:00:00.000","1277","2.829","135.26"
"2017-07-01T00:00:00.000","1246","2.829","131.36"
"2017-06-01T00:00:00.000","959","2.829","96.17"
"2017-05-01T00:00:00.000","708","2.727","68.94"
"2017-04-01T00:00:00.000","658","2.727","63.69"
"2017-03-01T00:00:00.000","610","2.727","58.67"
"2017-02-01T00:00:00.000","607","2.727","58.35"
"2017-01-01T00:00:00.000","778","2.727","76.25"
"2016-12-01T00:00:00.000","671","2.727","59.65"
"2016-11-01T00:00:00.000","728","2.727","65.48"
"2016-10-01T00:00:00.000","940","2.783","88.3"
"2016-09-01T00:00:00.000","1166","2.783","137.01"
"2016-08-01T00:00:00.000","1251","2.783","148.78"
"2016-07-01T00:00:00.000","1258","2.783","149.75"
"2016-06-01T00:00:00.000","963","2.783","109.3"
"2016-05-01T00:00:00.000","702","2.783","63.67"
"2016-04-01T00:00:00.000","612","2.783","54.34"
"2016-03-01T00:00:00.000","602","3.139","55.46"
"2016-02-01T00:00:00.000","663","3.139","61.99"
"2016-01-01T00:00:00.000","788","3.139","75.38"
"2015-12-01T00:00:00.000","657","3.139","61.34"
"2015-11-01T00:00:00.000","673","3.139","63.07"
"2015-10-01T00:00:00.000","987","3.945","99.97"
"2015-09-01T00:00:00.000","1247","3.945","156.81"
"2015-08-01T00:00:00.000","1356","3.945","172.65"
"2015-07-01T00:00:00.000","1164","3.945","144.74"
"2015-06-01T00:00:00.000","916","3.945","109.61"
"2015-05-01T00:00:00.000","715","3.945","69.93"
"2015-04-01T00:00:00.000","643","3.945","62"
"2015-03-01T00:00:00.000","773","3.945","76.34"
"2015-02-01T00:00:00.000","703","3.945","68.6"
"2015-01-01T00:00:00.000","924","3.945","93.01"
"2014-12-01T00:00:00.000","674","3.945","65.41"
"2014-11-01T00:00:00.000","736","3.945","72.76"
"2014-10-01T00:00:00.000","883","3.709","86.08"
"2014-09-01T00:00:00.000","1313","3.709","162.84"
"2014-08-01T00:00:00.000","1265","3.709","156"
"2014-07-01T00:00:00.000","1182","3.709","144.15"
"2014-06-01T00:00:00.000","970","3.709","114.23"
"2014-05-01T00:00:00.000","726","3.709","69.18"
"2014-04-01T00:00:00.000","625","3.709","58.3"
"2014-03-01T00:00:00.000","693","3.709","65.61"
"2014-02-01T00:00:00.000","837","3.709","81.13"
"2014-01-01T00:00:00.000","954","3.709","93.72"
"2013-12-01T00:00:00.000","828","3.709","80.15"
"2013-11-01T00:00:00.000","666","3.709","62.72"
"2013-10-01T00:00:00.000","940","3.372","87.39"
"2013-09-01T00:00:00.000","1295","3.372","153.62"
"2013-08-01T00:00:00.000","1382","3.372","165.58"
"2013-07-01T00:00:00.000","1281","3.372","151.69"
"2013-06-01T00:00:00.000","1071","3.372","122.81"
"2013-05-01T00:00:00.000","733","3.372","66.17"
"2013-04-01T00:00:00.000","630","3.372","55.6"
"2013-03-01T00:00:00.000","617","3.372","54.26"
"2013-02-01T00:00:00.000","651","3.372","57.76"
"2013-01-01T00:00:00.000","903","3.372","83.59"
"2012-12-01T00:00:00.000","659","3.372","58.57"
"2012-11-01T00:00:00.000","735","3.375","66.37"
"2012-10-01T00:00:00.000","871","3.372","80.31"
"2012-09-01T00:00:00.000","1281","3.372","132.98"
"2012-08-01T00:00:00.000","1380","3.615","144.44"
"2012-07-01T00:00:00.000","1304","3.615","135.64"
"2012-06-01T00:00:00.000","1175","3.615","120.7"
"2012-05-01T00:00:00.000","865","3.615","84.81"
"2012-04-01T00:00:00.000","731","3.615","65.13"
"2012-03-01T00:00:00.000","683","3.615","60.44"
"2012-02-01T00:00:00.000","663","3.615","58.48"
"2012-01-01T00:00:00.000","882","3.615","74.03"
"2011-12-01T00:00:00.000","710","3.615","63.08"
"2011-11-01T00:00:00.000","732","3.615","65.23"
"2011-10-01T00:00:00.000","993","3.615","93.95"
"2011-09-01T00:00:00.000","1565","3.105","156.91"
"2011-08-01T00:00:00.000","1527","3.105","152.73"
"2011-07-01T00:00:00.000","1481","3.105","147.66"
"2011-06-01T00:00:00.000","1213","3.105","118.16"
"2011-05-01T00:00:00.000","901","3.105","83.82"
"2011-04-01T00:00:00.000","713","3.105","59.3"
"2011-03-01T00:00:00.000","701","3.105","58.19"
"2011-02-01T00:00:00.000","884","3.105","75.04"
"2011-01-01T00:00:00.000","862","3.105","73.01"
"2010-12-01T00:00:00.000","736","3.653","65.45"
"2010-11-01T00:00:00.000","696","3.653","61.54"
"2010-10-01T00:00:00.000","946","3.653","93.18"
"2010-09-01T00:00:00.000","1411","3.653","146.53"
"2010-08-01T00:00:00.000","1336","3.653","137.93"
"2010-07-01T00:00:00.000","1321","3.653","136.21"
"2010-06-01T00:00:00.000","1098","3.653","110.62"
"2010-05-01T00:00:00.000","707","3.653","65.76"
"2010-04-01T00:00:00.000","628","3.653","54.4"
"2010-03-01T00:00:00.000","807","3.653","71.71"
"2010-02-01T00:00:00.000","808","3.653","71.81"
"2010-01-01T00:00:00.000","997","3.653","90.09"
"2009-12-01T00:00:00.000","753","3.653","66.49"
"2009-11-01T00:00:00.000","682","3.653","59.62"
"2009-10-01T00:00:00.000","924","3.653","90.66"
"2009-09-01T00:00:00.000","1353","3.653","139.88"
"2009-08-01T00:00:00.000","1457","3.653","151.81"
"2009-07-01T00:00:00.000","1511","3.653","158.01"
"2009-06-01T00:00:00.000","1115","3.653","112.57"
"2009-05-01T00:00:00.000","794","3.653","75.75"
"2009-04-01T00:00:00.000","664","3.653","57.88"
"2009-03-01T00:00:00.000","653","3.653","56.81"
"2009-02-01T00:00:00.000","708","3.653","62.13"
"2009-01-01T00:00:00.000","906","3.653","81.29"
